LICENCE_NO,AREA_CODE,AREA_NAME,AREA_DESCRIPTION
10006309,AP_10006309_3714,Regional South Australia,"JX5, IW1, IW2, IW3A, IW3B, IW3C, IW3D, IW3E1, IW3E2, IW3E3, IW3E4, IW3E7, IW3F1, IW3F2, IW3F3, IW3G1, IW3G2, IW3G3, IW3H1, IW3H2, IW3H3, IW3I1, IW3I4, IW3I7, IW3M1, IW3M4, IW3M7, IW4, IW5, IW6A1, IW6A4, IW6A7, IW6E1, IW6E4, IW6E7, IW6I, IW6J, IW6K, IW6L, IW6M, IW6N, IW6O, IW6P, IW7, IW8, IW9, JW1A, JW1B, JW1C, JW1D, JW1E1, JW1E2, JW1E3, JW1E5, JW1E6, JW1E8, JW1E9, JW1F, JW1G, JW1H, JW1I2, JW1I3, JW1I5, JW1I6, JW1I8, JX1, JX2, JW1I9, JW1J, JW1K, JW1L, JW1M2, JW1M3, JW1M5, JW1M6, JW1M7, JW1M8, JW1M9, JW1N, JW1O, JW1P, JW2, JW4, JW5, JW7, JW8, HW3, HW6, HV1, HV2, HV4, HV5, HV6, HV8, HV9, IV4, IV5, IV6, IV7, IV8, IV9, JV4, JV5, JV7, JV8, GV1, GV2, GV3, GV6"
10143110,AP_10143110_3919,Adelaide,"IW3J, IW3K, IW3L, IW3N, IW3O, IW3P, IW6B, IW6C, IW6D, IW6F, IW6G, IW6H, IW3E5, IW3E6, IW3E8, IW3E9, IW3F4, IW3F5, IW3F6, IW3F7, IW3F8, IW3F9, IW3G4, IW3G5, IW3G6, IW3G7, IW3G8, IW3G9, IW3H4, IW3H5, IW3H6, IW3H7, IW3H8, IW3H9, IW3I2, IW3I3, IW3I5, IW3I6, IW3I8, IW3I9, IW3M2, IW3M3, IW3M5, IW3M6, IW3M8, IW3M9, IW6A2, IW6A3, IW6A5, IW6A6, IW6A8, IW6A9, IW6E2, IW6E3, IW6E5, IW6E6, IW6E8, IW6E9, JW1E4, JW1E7, JW1I1, JW1I4, JW1I7, JW1M1, JW1M4"
10143110,AP_10143110_3917,Melbourne,"KX6G, KX6H, KX6J, KX6K, KX6L, LX1I, LX1M, LX1N, LX1O, LX4A, LX4B, LX4C, LX4E, LX4I, KX3F7, KX3F8, KX3F9, KX3G7, KX3G8, KX3G9, KX3H4, KX3H5, KX3H6, KX3H7, KX3H8, KX3H9, KX3M6, KX3M8, KX3M9, KX6A2, KX6A3, KX6A5, KX6A6, KX6A8, KX6A9, KX6E2, KX6E3, KX6E5, KX6E6, KX6E8, KX6E9, KX6I2, KX6I3, KX6I5, KX6I6, KX6I8, KX6I9, LX1E4, LX1E7, LX1E8, LX1E9, LX1J1, LX1J4, LX1J5, LX1J6, LX1J7, LX1J8, LX1J9, LX1K4, LX1K7, LX4F1, LX4F2, LX4F4, LX4F5, LX4F7, LX4F8, LX4J1, LX4J2, LX4J4, LX4J5, LX4J7, LX4J8, KX3J, KX3K, KX3L, KX3N, KX3O, KX3P, KX6B, KX6C, KX6D, KX6F"
10143110,AP_10143110_3916,Sydney,"NV7E, NV7F, NV7G, NV7H, NV7I, NV7J, NV7K, NV7L, NV7M, NV7N, NV7O, NV7P, MV9D6, MV9D9, MV9E4, MV9E5, MV9E6, MV9E7, MV9E8, MV9E9, MV9F4, MV9F5, MV9F6, MV9F7, MV9F8, MV9F9, MV9G4, MV9G5, MV9G6, MV9G7, MV9G8, MV9G9, MV9H3, MV9H4, MV9H5, MV9H6, MV9H7, MV9H8, MV9H9, MW3B2, MW3B3, MW3B5, MW3B6, MW3B8, MW3B9, MW3F2, MW3F3, MW3F5, MW3F6, MW3F8, MW3F9, MW3J2, MW3J3, NV4I5, NV4I6, NV4I8, NV4I9, NV4J4, NV4J5, NV4J6, NV4J7, NV4J8, NV4J9, NV4K4, NV4K5, NV4K6, NV4K7, NV4K8, NV4K9, NV4L4, NV4L5, NV4L6, NV4L7, NV4L8, NV4L9, NV4M2, NV4M3, NV4M5, NV4M6, NV4M8, NV4M9, NV5I4, NV5I5, NV5I6, NV5I7, NV5I8, NV5I9, NV5J4, NV5J5, NV5J6, NV5J7, NV5J8, NV5J9, NV5K4, NV5K5, NV5K6, NV5K7, NV5K8, NV5K9, NV5L4, NV5L5, NV5L6, NV5L7, NV5L8, NV5L9, NV7A2, NV7A3, NV7A4, NV7A5, NV7A6, NV7A7, NV7A8, NV7A9, NW1, MV9I, MV9J, MV9K, MV9L, MV9M, MV9N, MV9O, MV9P, MW3C, MW3D, MW3G, MW3H, MW3K, MW3L, MW3O, MW3P, NV4N, NV4O, NV4P, NV5M, NV5N, NV5O, NV5P, NV7B, NV7C, NV7D"
10143110,AP_10143110_3918,Brisbane,"NT9, NT5G, NT5H, NT5K, NT5L, NT5O, NT5P, NT6E, NT6F, NT6G, NT6H, NT6I, NT6J, NT6K, NT6L, NT6M, NT6N, NT6O, NT6P, NT8C, NT8D, NT8G, NT8H, NT8K, NT8L, NT8O, NT8P, NU3A, NU3B, NU3C, NU3D, NU3F, NU3G, NU3H, NT5C4, NT5C5, NT5C6, NT5C7, NT5C8, NT5C9, NT5D4, NT5D5, NT5D6, NT5D7, NT5D8, NT5D9, NT6A4, NT6A5, NT6A6, NT6A7, NT6A8, NT6A9, NT6B4, NT6B5, NT6B6, NT6B7, NT6B8, NT6B9, NT6C4, NT6C5, NT6C6, NT6C7, NT6C8, NT6C9, NT6D4, NT6D5, NT6D6, NT6D7, NT6D8, NT6D9, NU2C1, NU2C2, NU2C3, NU2D1, NU2D2, NU2D3, NU2D5, NU2D6, NU2D8, NU2D9, NU2H2, NU2H3, NU3E1, NU3E2, NU3E3, NU3E5, NU3E6, NU3E8, NU3E9, NU3I2, NU3I3, NU3J1, NU3J2, NU3J3, NU3K1, NU3K2, NU3K3, NU3L1, NU3L2, NU3L3"
10143110,AP_10143110_3920,Perth,"BV1I, BV1J, BV1K, BV1L, BV1M, BV1N, BV1O, BV1P, BV2I, BV2J, BV2M, BV2N, BV4A, BV4B, BV4C, BV4D, BV4E, BV4F, BV4G, BV4H, BV4I, BV4J, BV4K, BV4L, BV5A, BV5B, BV5E, BV5F, BV5I, BV5J, BV1E7, BV1E8, BV1E9, BV1F7, BV1F8, BV1F9, BV1G7, BV1G8, BV1G9, BV1H7, BV1H8, BV1H9, BV2E7, BV2E8, BV2E9, BV2F7, BV2F8, BV2F9, BV4M1, BV4M2, BV4M3, BV4N1, BV4N2, BV4N3, BV4O1, BV4O2, BV4O3, BV4P1, BV4P2, BV4P3, BV5M1, BV5M2, BV5M3, BV5N1, BV5N2, BV5N3"
10143136,AP_10143136_3979,Adelaide,"IW3J, IW3K, IW3L, IW3N, IW3O, IW3P, IW6B, IW6C, IW6D, IW6F, IW6G, IW6H, IW3E5, IW3E6, IW3E8, IW3E9, IW3F4, IW3F5, IW3F6, IW3F7, IW3F8, IW3F9, IW3G4, IW3G5, IW3G6, IW3G7, IW3G8, IW3G9, IW3H4, IW3H5, IW3H6, IW3H7, IW3H8, IW3H9, IW3I2, IW3I3, IW3I5, IW3I6, IW3I8, IW3I9, IW3M2, IW3M3, IW3M5, IW3M6, IW3M8, IW3M9, IW6A2, IW6A3, IW6A5, IW6A6, IW6A8, IW6A9, IW6E2, IW6E3, IW6E5, IW6E6, IW6E8, IW6E9, JW1E4, JW1E7, JW1I1, JW1I4, JW1I7, JW1M1, JW1M4"
10143136,AP_10143136_3980,Perth,"BV1I, BV1J, BV1K, BV1L, BV1M, BV1N, BV1O, BV1P, BV2I, BV2J, BV2M, BV2N, BV4A, BV4B, BV4C, BV4D, BV4E, BV4F, BV4G, BV4H, BV4I, BV4J, BV4K, BV4L, BV5A, BV5B, BV5E, BV5F, BV5I, BV5J, BV1E7, BV1E8, BV1E9, BV1F7, BV1F8, BV1F9, BV1G7, BV1G8, BV1G9, BV1H7, BV1H8, BV1H9, BV2E7, BV2E8, BV2E9, BV2F7, BV2F8, BV2F9, BV4M1, BV4M2, BV4M3, BV4N1, BV4N2, BV4N3, BV4O1, BV4O2, BV4O3, BV4P1, BV4P2, BV4P3, BV5M1, BV5M2, BV5M3, BV5N1, BV5N2, BV5N3"
10143136,AP_10143136_3976,Sydney,"NV5K7, NV5K8, NV5K9, NV5L4, NV5L5, NV5L6, NV5L7, NV5L8, NV5L9, NV7A2, NV7A3, NV7A4, NV7A5, NV7A6, NV7A7, NV7A8, NV7A9, NW1, MV9I, MV9J, MV9K, MV9L, MV9M, MV9N, MV9O, MV9P, MW3C, MW3D, MW3G, MW3H, MW3K, MW3L, MW3O, MW3P, NV4N, NV4O, NV4P, NV5M, NV5N, NV5O, NV5P, NV7B, NV7C, NV7D, NV7E, NV7F, NV7G, NV7H, NV7I, NV7J, NV7K, NV7L, NV7M, NV7N, NV7O, NV7P, MV9D6, MV9D9, MV9E4, MV9E5, MV9E6, MV9E7, MV9E8, MV9E9, MV9F4, MV9F5, MV9F6, MV9F7, MV9F8, MV9F9, MV9G4, MV9G5, MV9G6, MV9G7, MV9G8, MV9G9, MV9H3, MV9H4, MV9H5, MV9H6, MV9H7, MV9H8, MV9H9, MW3B2, MW3B3, MW3B5, MW3B6, MW3B8, MW3B9, MW3F2, MW3F3, MW3F5, MW3F6, MW3F8, MW3F9, MW3J2, MW3J3, NV4I5, NV4I6, NV4I8, NV4I9, NV4J4, NV4J5, NV4J6, NV4J7, NV4J8, NV4J9, NV4K4, NV4K5, NV4K6, NV4K7, NV4K8, NV4K9, NV4L4, NV4L5, NV4L6, NV4L7, NV4L8, NV4L9, NV4M2, NV4M3, NV4M5, NV4M6, NV4M8, NV4M9, NV5I4, NV5I5, NV5I6, NV5I7, NV5I8, NV5I9, NV5J4, NV5J5, NV5J6, NV5J7, NV5J8, NV5J9, NV5K4, NV5K5, NV5K6"
10143136,AP_10143136_3978,Brisbane,"NT9, NT5G, NT5H, NT5K, NT5L, NT5O, NT5P, NT6E, NT6F, NT6G, NT6H, NT6I, NT6J, NT6K, NT6L, NT6M, NT6N, NT6O, NT6P, NT8C, NT8D, NT8G, NT8H, NT8K, NT8L, NT8O, NT8P, NU3A, NU3B, NU3C, NU3D, NU3F, NU3G, NU3H, NT5C4, NT5C5, NT5C6, NT5C7, NT5C8, NT5C9, NT5D4, NT5D5, NT5D6, NT5D7, NT5D8, NT5D9, NT6A4, NT6A5, NT6A6, NT6A7, NT6A8, NT6A9, NT6B4, NT6B5, NT6B6, NT6B7, NT6B8, NT6B9, NT6C4, NT6C5, NT6C6, NT6C7, NT6C8, NT6C9, NT6D4, NT6D5, NT6D6, NT6D7, NT6D8, NT6D9, NU2C1, NU2C2, NU2C3, NU2D1, NU2D2, NU2D3, NU2D5, NU2D6, NU2D8, NU2D9, NU2H2, NU2H3, NU3E1, NU3E2, NU3E3, NU3E5, NU3E6, NU3E8, NU3E9, NU3I2, NU3I3, NU3J1, NU3J2, NU3J3, NU3K1, NU3K2, NU3K3, NU3L1, NU3L2, NU3L3"
