LICENCE_NO,AREA_CODE,AREA_NAME,LW_FREQUENCY_START,LW_FREQUENCY_END,UP_FREQUENCY_START,UP_FREQUENCY_END
10006309,AP_10006309_3714,Regional South Australia,1710000000,1712500000,1805000000,1807500000
10143110,AP_10143110_3918,Brisbane,1960000000,1970000000,2150000000,2160000000
10143110,AP_10143110_3919,Adelaide,1960000000,1970000000,2150000000,2160000000
10143110,AP_10143110_3920,Perth,1960000000,1970000000,2150000000,2160000000
10143110,AP_10143110_3916,Sydney,1920000000,1935000000,2110000000,2125000000
10143110,AP_10143110_3917,Melbourne,1920000000,1935000000,2110000000,2125000000
10143136,AP_10143136_3981,Hobart,1970000000,1980000000,2160000000,2170000000
10143136,AP_10143136_3982,Darwin,1970000000,1980000000,2160000000,2170000000
10143136,AP_10143136_3983,Canberra,1970000000,1980000000,2160000000,2170000000
10143136,AP_10143136_3984,Regional South East Australia,1975000000,1980000000,2165000000,2170000000
10143136,AP_10143136_3980,Perth,1970000000,1980000000,2160000000,2170000000
10143136,AP_10143136_3979,Adelaide,1970000000,1980000000,2160000000,2170000000
10143136,AP_10143136_3989,Regional Western Australia,1975000000,1980000000,2165000000,2170000000
10143136,AP_10143136_3977,Melbourne,1970000000,1980000000,2160000000,2170000000
10143136,AP_10143136_3976,Sydney,1970000000,1980000000,2160000000,2170000000
10143136,AP_10143136_3978,Brisbane,1970000000,1980000000,2160000000,2170000000
10143466,AP_10143466_4113,Adelaide,1920000000,1930000000,2110000000,2120000000
10143466,AP_10143466_4113,Adelaide,1935000000,1940000000,2125000000,2130000000
10143466,AP_10143466_4112,Brisbane,1920000000,1930000000,2110000000,2120000000
10143466,AP_10143466_4112,Brisbane,1935000000,1940000000,2125000000,2130000000
10143466,AP_10143466_4111,Melbourne,1960000000,1970000000,2150000000,2160000000
10143466,AP_10143466_4111,Melbourne,1935000000,1940000000,2125000000,2130000000
10143466,AP_10143466_4114,Perth,1935000000,1940000000,2125000000,2130000000
10143466,AP_10143466_4124,Regional Western Australia,1965000000,1975000000,2155000000,2165000000
10143466,AP_10143466_4119,Regional South East Australia,1965000000,1975000000,2155000000,2165000000
10143466,AP_10143466_4118,Sydney,1960000000,1970000000,2150000000,2160000000
10143466,AP_10143466_4118,Sydney,1935000000,1940000000,2125000000,2130000000
10143466,AP_10143466_4117,Canberra,1960000000,1970000000,2150000000,2160000000
10143466,AP_10143466_4117,Canberra,1935000000,1940000000,2125000000,2130000000
10143466,AP_10143466_4116,Darwin,1920000000,1930000000,2110000000,2120000000
10143466,AP_10143466_4116,Darwin,1935000000,1940000000,2125000000,2130000000
10143466,AP_10143466_4115,Hobart,1920000000,1930000000,2110000000,2120000000
10143466,AP_10143466_4114,Perth,1920000000,1930000000,2110000000,2120000000
10143466,AP_10143466_4115,Hobart,1935000000,1940000000,2125000000,2130000000
10143562,AP_10143562_4167,Sydney,1940000000,1960000000,2130000000,2150000000
10143562,AP_10143562_4166,Brisbane,1940000000,1960000000,2130000000,2150000000
10143562,AP_10143562_4165,Melbourne,1940000000,1960000000,2130000000,2150000000
10143562,AP_10143562_4164,Canberra,1940000000,1960000000,2130000000,2150000000
10143562,AP_10143562_4174,Regional Western Australia,1960000000,1965000000,2150000000,2155000000
10143562,AP_10143562_4162,Hobart,1940000000,1960000000,2130000000,2150000000
10143562,AP_10143562_4161,Darwin,1940000000,1960000000,2130000000,2150000000
10143562,AP_10143562_4169,Regional South East Australia,1960000000,1965000000,2150000000,2155000000
10143562,AP_10143562_4168,Adelaide,1940000000,1960000000,2130000000,2150000000
10143562,AP_10143562_4163,Perth,1940000000,1960000000,2130000000,2150000000
10231258,AP_10231258_4252,Southern New South Wales/Riverina (Albury),1780000000,1785000000,1875000000,1880000000
10231258,AP_10231258_4260,Northern New South Wales (Grafton) + Western New South Wales (Dubbo),1750000000,1775000000,1845000000,1870000000
10231258,AP_10231258_4259,North Queensland (Cairns/Townsville) + Central Queensland (Mackay),1750000000,1775000000,1845000000,1870000000
10231258,AP_10231258_4258,Regional Western Australia,1750000000,1770000000,1845000000,1865000000
10231258,AP_10231258_4256,Regional South Australia,1750000000,1775000000,1845000000,1870000000
10231258,AP_10231258_4252,Southern New South Wales/Riverina (Albury),1750000000,1770000000,1845000000,1865000000
10231258,AP_10231258_4253,Regional Victoria,1755000000,1775000000,1850000000,1870000000
10231258,AP_10231258_4249,Darwin,1750000000,1775000000,1845000000,1870000000
10231258,AP_10231258_4250,South Queensland (Maryborough),1750000000,1770000000,1845000000,1865000000
10231258,AP_10231258_4251,Canberra (including south coast of NSW),1760000000,1780000000,1855000000,1875000000
10231258,AP_10231258_4255,Tasmania,1765000000,1785000000,1860000000,1880000000
10232073,AP_10232073_4368,South Queensland (Maryborough) + Northern New South Wales (Grafton),1775000000,1785000000,1870000000,1880000000
10232073,AP_10232073_4365,Regional South Australia,1775000000,1785000000,1870000000,1880000000
10232073,AP_10232073_4367,Adelaide,1770000000,1775000000,1865000000,1870000000
10232073,AP_10232073_4364,Tasmania,1755000000,1765000000,1850000000,1860000000
10232073,AP_10232073_4362,Regional Victoria,1745000000,1755000000,1840000000,1850000000
10232073,AP_10232073_4361,Southern New South Wales/Riverina (Albury),1770000000,1780000000,1865000000,1875000000
10232073,AP_10232073_4360,Canberra (including south coast of NSW),1750000000,1760000000,1845000000,1855000000
10232073,AP_10232073_4358,Darwin,1775000000,1785000000,1870000000,1880000000
10232073,AP_10232073_4359,Western New South Wales (Dubbo),1780000000,1785000000,1875000000,1880000000
10235466,AP_10235466_4386,North Queensland (Cairns/Townsville),1775000000,1785000000,1870000000,1880000000
10235466,AP_10235466_4387,South Queensland (Maryborough),1770000000,1775000000,1865000000,1870000000
10235466,AP_10235466_4388,Canberra (including south coast of NSW),1735000000,1750000000,1830000000,1845000000
10235466,AP_10235466_4388,Canberra (including south coast of NSW),1780000000,1785000000,1875000000,1880000000
10235466,AP_10235466_4389,Regional Victoria,1775000000,1785000000,1870000000,1880000000
10235466,AP_10235466_4391,Regional Western Australia,1770000000,1780000000,1865000000,1875000000
10388332,AP_10388332_4436,Central Australia,2337000000,2365000000,,
10388332,AP_10388332_4437,Gold Fields,2337000000,2365000000,,
10388332,AP_10388332_4438,Kimberley,2365000000,2400000000,,
10388332,AP_10388332_4439,Midwest RQZ,2337000000,2365000000,,
10388332,AP_10388332_4440,Telfer Mine,2302000000,2400000000,,
10388334,AP_10388334_4442,Canberra A,3542500000,3547000000,,
10388334,AP_10388334_4441,Brisbane B,3542500000,3575000000,,
10388334,AP_10388334_4443,Rockhampton,3542500000,3547000000,,
10388334,AP_10388334_4444,Toowoomba,3542500000,3547000000,,
10388433,AP_10388433_4447,Adelaide,1930000000,1935000000,2120000000,2125000000
10388433,AP_10388433_4445,Canberra B,1920000000,1930000000,2110000000,2120000000
10388433,AP_10388433_4448,Brisbane A,1930000000,1935000000,2120000000,2125000000
10388433,AP_10388433_4452,Perth,1930000000,1935000000,2120000000,2125000000
10388433,AP_10388433_4449,Canberra A,1930000000,1935000000,2120000000,2125000000
10388433,AP_10388433_4450,Darwin,1930000000,1935000000,2120000000,2125000000
10388433,AP_10388433_4451,Hobart,1930000000,1935000000,2120000000,2125000000
10391280,AP_10391280_4453,National,733000000,738000000,788000000,793000000
10391286,AP_10391286_4455,National,738000000,748000000,793000000,803000000
10424434,AP_10424434_4458,Regional WA,1780000000,1785000000,1875000000,1880000000
10424436,AP_10424436_4460,Hobart,1960000000,1970000000,2150000000,2160000000
10424436,AP_10424436_4459,Darwin,1960000000,1970000000,2150000000,2160000000
10424514,AP_10424514_4462,Delamere,2302000000,2400000000,,
10424514,AP_10424514_4461,Cameron Corner,2365000000,2400000000,,
10424514,AP_10424514_4463,Geraldton/Kalgoorlie,2365000000,2400000000,,
10424532,AP_10424532_4466,Outer ACT 1,2302000000,2330000000,,
10424532,AP_10424532_4470,NSW EAST,2393000000,2400000000,,
10424532,AP_10424532_4469,Melbourne,2393000000,2400000000,,
10424532,AP_10424532_4467,Outer ACT 2,2302000000,2330000000,,
10424532,AP_10424532_4468,Outer ACT 3,2302000000,2330000000,,
10427561,AP_10427561_4475,Tasmania,1750000000,1755000000,1845000000,1850000000
10427561,AP_10427561_4474,Mackay,1775000000,1785000000,1870000000,1880000000
10427561,AP_10427561_4476,Dubbo,1775000000,1780000000,1870000000,1875000000
10435053,AP_10435053_4496,Perth,1710000000,1730000000,1805000000,1825000000
10435053,AP_10435053_4495,Regional Western Australia,1710000000,1750000000,1805000000,1845000000
10435053,AP_10435053_4494,Tasmania,1710000000,1745000000,1805000000,1840000000
10435053,AP_10435053_4493,ACT and South Coast NSW,1710000000,1730000000,1805000000,1825000000
10435053,AP_10435053_4492,Darwin,1710000000,1745000000,1805000000,1840000000
10435053,AP_10435053_4497,Adelaide,1710000000,1730000000,1805000000,1825000000
10435053,AP_10435053_4505,Merge: North East and South Central NSW + Merge: South Queensland + North and Central Queensland,1710000000,1750000000,1805000000,1845000000
10435053,AP_10435053_4503,Regional South Australia,1710000000,1750000000,1805000000,1845000000
10435053,AP_10435053_4501,Regional Victoria,1710000000,1745000000,1805000000,1840000000
10435053,AP_10435053_4500,Sydney,1710000000,1725000000,1805000000,1820000000
10435053,AP_10435053_4499,Melbourne,1710000000,1725000000,1805000000,1820000000
10435053,AP_10435053_4498,Brisbane,1710000000,1730000000,1805000000,1825000000
10498938,AP_10498938_4773,Adelaide Rim NE,3542500000,3575000000,,
10498938,AP_10498938_4774,Adelaide Rim S,3542500000,3575000000,,
10498938,AP_10498938_4775,Launceston,3542500000,3575000000,,
10498938,AP_10498938_4776,Hobart,3542500000,3575000000,,
10498938,AP_10498938_4777,Perth,3542500000,3575000000,,
10498938,AP_10498938_4778,Cairns,3542500000,3575000000,,
10498938,AP_10498938_4785,Canberra,3547000000,3575000000,,
10498938,AP_10498938_4783,Toowoomba,3547000000,3575000000,,
10498938,AP_10498938_4782,Rockhampton,3547000000,3575000000,,
10498938,AP_10498938_4781,Ballarat-Bendigo,3542500000,3575000000,,
10498938,AP_10498938_4780,Wodonga,3542500000,3575000000,,
10498938,AP_10498938_4779,Townsville,3542500000,3575000000,,
10498938,AP_10498938_4784,Adelaide,3547000000,3575000000,,
10914942,AP_10914942_4890,Adelaide,3575000000,3610000000,,
10914942,AP_10914942_4891,Brisbane,3575000000,3605000000,,
10914942,AP_10914942_4892,Canberra,3575000000,3605000000,,
10914942,AP_10914942_4893,Melbourne,3575000000,3635000000,,
10914942,AP_10914942_4894,Sydney,3575000000,3635000000,,
10914942,AP_10914942_4895,Perth - lower/upper,3575000000,3605000000,,
10914942,AP_10914942_4896,Regional Southern/Western NSW,3575000000,3640000000,,
10914942,AP_10914942_4906,Merge: Regional Victoria + Tasmania,3575000000,3625000000,,
10914942,AP_10914942_4901,Merge: Regional Northern NSW/Southern Queensland + Merge: North Queensland + Central Queensland,3575000000,3625000000,,
10914942,AP_10914942_4898,Regional South Australia,3575000000,3650000000,,
10914942,AP_10914942_4900,Regional Western Australia,3575000000,3655000000,,
10917462,AP_10917462_4913,Merge: Regional Southern/Western NSW + Regional South Australia,3670000000,3700000000,,
10917462,AP_10917462_4908,Merge: Regional Northern NSW/Southern Queensland + Merge: North Queensland + Central Queensland,3665000000,3700000000,,
10917462,AP_10917462_4916,Merge: Regional Victoria + Tasmania,3665000000,3700000000,,
10917463,AP_10917463_4918,Adelaide,3670000000,3700000000,,
10917463,AP_10917463_4919,Brisbane,3665000000,3700000000,,
10917463,AP_10917463_4923,Perth - lower/upper,3605000000,3640000000,,
10917463,AP_10917463_4922,Sydney,3635000000,3640000000,,
10917463,AP_10917463_4921,Melbourne,3695000000,3700000000,,
10917463,AP_10917463_4920,Canberra,3605000000,3640000000,,
10917464,AP_10917464_4924,Adelaide,3610000000,3670000000,,
10917464,AP_10917464_4925,Brisbane,3605000000,3665000000,,
10917464,AP_10917464_4926,Canberra,3640000000,3700000000,,
10917464,AP_10917464_4927,Melbourne,3635000000,3695000000,,
10917464,AP_10917464_4928,Sydney,3640000000,3700000000,,
10917464,AP_10917464_4940,Merge: Regional Victoria + Tasmania,3625000000,3665000000,,
10917464,AP_10917464_4935,Merge: Regional Northern NSW/Southern Queensland + Merge: North Queensland + Central Queensland,3625000000,3665000000,,
10917464,AP_10917464_4934,Regional Western Australia,3655000000,3700000000,,
10917464,AP_10917464_4932,Regional South Australia,3650000000,3670000000,,
10917464,AP_10917464_4930,Regional Southern/Western NSW,3640000000,3670000000,,
10917464,AP_10917464_4929,Perth - lower/upper,3640000000,3700000000,,
11181369,AP_11181369_0014,Area 0014,24700000000,25100000000,,
11181369,AP_11181369_0001,Area 0001,25000000000,25100000000,,
11181789,AP_11181789_4968,Market area,27500000000,28100000000,,
11181789,AP_11181789_4970,Hole area,27500000000,30000000000,,
11181790,AP_11181790_4971,Area,27500000000,28100000000,,
11181790,AP_11181790_4973,Market area,27500000000,29500000000,,
11181846,AP_11181846_4976,Hamel WA,27500000000,28500000000,,
11181847,AP_11181847_4977,Bourke NSW ,27500000000,28500000000,,
11181848,AP_11181848_4978,Gaveston TAS,27500000000,28500000000,,
11181849,AP_11181849_4979,Ceduna SA ,27500000000,28500000000,,
11181851,AP_11181851_4980,Kalgoorlie WA,27500000000,28500000000,,
11181852,AP_11181852_4981,Carnarvon WA,27500000000,28500000000,,
11181853,AP_11181853_4982,Roma Qld,27500000000,28500000000,,
